county,population
Los Angeles,10098052
San Diego,3302833
Orange,3164182
Riverside,2383286
San Bernardino,2135413
Santa Clara,1922200
Alameda,1643700
Sacramento,1510023
Contra Costa,1133247
Fresno,978130
Kern,883053
San Francisco,870044
Ventura,848112
San Mateo,765935
San Joaquin,732212
Stanislaus,539301
Sonoma,501317
Tulare,460477
Santa Barbara,443738
Solano,438530
Monterey,433212
Placer,380077
San Luis Obispo,281455
Santa Cruz,273765
Merced,269075
Marin,260295
Butte,227075
Yolo,214977
El Dorado,186661
Imperial,180216
Shasta,179085
Madera,155013
Kings,150075
Napa,140530
Humboldt,135768
Nevada,99092
Sutter,95872
Mendocino,87422
Yuba,75493
Lake,64148
Tehama,63373
San Benito,59416
Tuolumne,53932
Calaveras,45235
Siskiyou,43540
Amador,37829
Lassen,31185
Glenn,27897
Del Norte,27424
Colusa,21464
Plumas,18699
Inyo,18085
Mariposa,17540
Mono,14174
Trinity,12862
Modoc,8938
Sierra,2930
Alpine,1146
