             county       date hosp.conf hosp.pui icu.conf icu.pui deaths.conf population is.region
 1:       Del Norte 2021-02-18         1        2        0       0           5      27424     FALSE
 2:           Modoc 2021-02-18         2        0        0       0           4       8938     FALSE
 3:          Plumas 2021-02-18         1        0        0       0           6      18699     FALSE
 4:            Yuba 2021-02-18        26        0        8       0          36      75493     FALSE
 5:          Madera 2021-02-18        40       12       10       0         201     155013     FALSE
 6:           Butte 2021-02-18        12        0        2       0         153     227075     FALSE
 7:          Shasta 2021-02-18        12        0        2       0         171     179085     FALSE
 8:          Tehama 2021-02-18         5        0        0       0          51      63373     FALSE
 9:     Santa Clara 2021-02-18       248       15       82       4          NA    1922200     FALSE
10:       San Diego 2021-02-18       717       41      224       8        3135    3302833     FALSE
11:        Monterey 2021-02-18        67        0        9       0         313     433212     FALSE
12:          Lassen 2021-02-18         0        0        0       0          19      31185     FALSE
13:          Placer 2021-02-18        59       15       18       2         229     380077     FALSE
14:          Orange 2021-02-18       636       25      215       2        3685    3164182     FALSE
15:          Merced 2021-02-18        33        0       15       0         384     269075     FALSE
16:  San Bernardino 2021-02-18       505       34      136       2        2492    2135413     FALSE
17:      Sacramento 2021-02-18       201       17       56       2        1412    1510023     FALSE
18:      Stanislaus 2021-02-18       173       19       31       1         916     539301     FALSE
19:    Contra Costa 2021-02-18        96       11       37       1         632    1133247     FALSE
20: San Luis Obispo 2021-02-18        21        2        5       0         210     281455     FALSE
21:           Marin 2021-02-18        18        4        4       0         192     260295     FALSE
22:            Lake 2021-02-18         2        0        1       0          39      64148     FALSE
23:          Sonoma 2021-02-18        38        1       14       0         291     501317     FALSE
24:      Santa Cruz 2021-02-18        23        2        5       0         172     273765     FALSE
25:        Humboldt 2021-02-18        10        2        1       0          32     135768     FALSE
26:         Ventura 2021-02-18       188        9       46       0         775     848112     FALSE
27:         Alameda 2021-02-18       183       29       58       4        1126    1643700     FALSE
28:       San Mateo 2021-02-18        82        6       20       0         481     765935     FALSE
29:          Solano 2021-02-18        86       12       20       0         156     438530     FALSE
30:            Napa 2021-02-18         2        3        0       0          67     140530     FALSE
31:     San Joaquin 2021-02-18       129       16       54       4        1021     732212     FALSE
32:     Los Angeles 2021-02-18      2498      247      760      40       19514   10098052     FALSE
33:       Riverside 2021-02-18       513       63      152       7        3599    2383286     FALSE
34:            Kern 2021-02-18       185        9       53       0         727     883053     FALSE
35:   Santa Barbara 2021-02-18        97        9       21       3         388     443738     FALSE
36:          Fresno 2021-02-18       289       18       66       2        1356     978130     FALSE
37:       Mendocino 2021-02-18         9        0        2       0          41      87422     FALSE
38:          Tulare 2021-02-18        93        6       12       0         717     460477     FALSE
39:            Yolo 2021-02-18        10        0        6       0         181     214977     FALSE
40:          Nevada 2021-02-18         6        0        0       0          74      99092     FALSE
41:        Tuolumne 2021-02-18         0        0        0       0          56      53932     FALSE
42:           Kings 2021-02-18        42        0       10       0         213     150075     FALSE
43:        Imperial 2021-02-18        29        1       14       1         584     180216     FALSE
44:       Calaveras 2021-02-18         2        0        1       0          25      45235     FALSE
45:      San Benito 2021-02-18         9        0        3       0          57      59416     FALSE
46:          Amador 2021-02-18         5        1        1       0          38      37829     FALSE
47:        Siskiyou 2021-02-18         1        0        1       0          13      43540     FALSE
48:       El Dorado 2021-02-18         6        0        1       0          91     186661     FALSE
49:          Colusa 2021-02-18         2        0        0       0          13      21464     FALSE
50:            Inyo 2021-02-18         2        0        0       0          34      18085     FALSE
             county       date hosp.conf hosp.pui icu.conf icu.pui deaths.conf population is.region
       last.rt   run.time
 1: 2020-01-01 100000.000
 2: 2020-01-01 100000.000
 3: 2020-01-01 100000.000
 4: 2020-01-01  29268.857
 5: 2020-01-01  28579.140
 6: 2020-01-01  26824.212
 7: 2020-01-01  17979.465
 8: 2020-01-01   5304.990
 9: 2021-02-22 100000.000
10: 2021-02-22  48176.240
11: 2021-02-22  36817.995
12: 2021-02-22  32175.926
13: 2021-02-22  31718.879
14: 2021-02-22  31573.056
15: 2021-02-22  30654.618
16: 2021-02-22  29996.020
17: 2021-02-22  29066.961
18: 2021-02-22  28137.317
19: 2021-02-22  27857.951
20: 2021-02-22  27276.534
21: 2021-02-22  27162.528
22: 2021-02-22  26552.068
23: 2021-02-22  25961.438
24: 2021-02-22  24678.780
25: 2021-02-22  22055.337
26: 2021-02-22  18363.101
27: 2021-02-22  17337.172
28: 2021-02-22  16215.071
29: 2021-02-22  16151.820
30: 2021-02-22  15561.628
31: 2021-02-22  15496.888
32: 2021-02-22  14918.901
33: 2021-02-22  14767.992
34: 2021-02-22  13963.584
35: 2021-02-22  13674.400
36: 2021-02-22  13076.250
37: 2021-02-22  12630.763
38: 2021-02-22  12505.318
39: 2021-02-22  12298.714
40: 2021-02-22  12219.330
41: 2021-02-22  11408.665
42: 2021-02-22  11032.922
43: 2021-02-22   8275.645
44: 2021-02-22   5758.759
45: 2021-02-22   1027.944
46: 2021-02-22    891.519
47: 2021-02-22    679.674
48: 2021-02-22    595.383
49: 2021-02-22    508.155
50: 2021-02-22    345.291
       last.rt   run.time
