"county","Rt","Rt_change"
"Imperial",1.09,NA
"Shasta",1.07,NA
"Butte",1.05,NA
"Yuba",1.02,NA
"Colusa",1,NA
"Los Angeles",0.94,NA
"San Diego",0.94,NA
"Riverside",0.92,NA
"San Bernardino",0.92,NA
"San Joaquin",0.91,NA
"Kings",0.91,NA
"Tehama",0.91,NA
"Marin",0.9,NA
"Yolo",0.9,NA
"Tulare",0.89,NA
"Fresno",0.89,NA
"Nevada",0.89,NA
"Sacramento",0.89,NA
"San Mateo",0.88,NA
"Siskiyou",0.88,NA
"Contra Costa",0.87,NA
"Merced",0.86,NA
"Placer",0.85,NA
"Kern",0.85,NA
"Solano",0.85,NA
"Madera",0.85,NA
"Monterey",0.84,NA
"Orange",0.84,NA
"Sonoma",0.83,NA
"Alameda",0.82,NA
"Humboldt",0.82,NA
"Stanislaus",0.81,NA
"Santa Cruz",0.81,NA
"Ventura",0.81,NA
"Tuolumne",0.81,NA
"San Francisco",0.8,NA
"Santa Barbara",0.78,NA
"Napa",0.73,NA
"Santa Clara",0.72,NA
"San Luis Obispo",0.6,NA
